Name,Marke,Packshot,Dateiname,ISO,Typ,Formate,Einsatz,Grain,Sättigung,Handling,Budget,Kurzbeschreibung,Look Beschreibung,Tipp: Belichtung,Tipp: Scan,Tipp: Dev
Velvia 50,Fujifilm,Film%20Description/Velvia_50.jpg,fujifilm-velvia-50-50.jpg,50,Slide,"120, 35mm, Sheet","Landscape, Studio, Sunny, Travel",Feinkorn,Vivid,Präzise,Premium,Extrem gesättigter Diafilm für Landschaft und Natur. Maximale Farbdichte und Detailtreue bei idealen Lichtbedingungen.,"Sehr satte Farben (stark in Rot- und Grüntönen). Hoher Kontrast, tiefes Schwarz. Feinstes Korn, sehr hohe Schärfe.",Lichter schützen: lieber –0.3 bis –0.7 EV. Null Fehlertoleranz bei Überbelichtung.,"Neutral scannen. Highlights schützen, Schwarztöne leicht anheben. Keine automatische Farbstichkorrektur auf Rot/Magenta – sonst verliert Velvia seinen typischen Look.","E-6 Standardprozess → Push nur in Ausnahmefällen, da zusätzliche Kontraststeigerung"
Ultramax 400,Kodak,Film%20Description/Ultramax_400.jpg,kodak-ultramax-400-400.jpg,400,Color Negative,35mm,"Snapshot, Street, Sunny, Travel",Mittel,Vivid,Tolerant,Budget,"Günstiger Allround-Farbfilm für Alltag, Reisen und Street. Gute Ergebnisse bei fast allen Lichtsituationen, besonders draußen.","Kräftige, etwas warm verschobene Farben. Sichtbares, aber angenehmes Korn. Leicht höherer Kontrast für einen lebendigen, konsumententypischen Look.",Am besten bei ISO 200 belichten (+1 EV) für sattere Farben und weniger Korn. Bei schwachem Licht auf ISO 400 bleiben.,"Warmton leicht kontrollieren. Schatten vorsichtig aufhellen, sonst stärkeres Rauschen. Gut für leichte Farb-Punch-Looks.","C-41 Standard. Push bis 800 möglich, aber Korn und Kontrast werden deutlich stärker."
Tri-X 400,Kodak,Film%20Description/Tri-X_400.jpg,kodak-tri-X-400.jpg,400,B&W,"120, 35mm","Action, Low Light, Reportage, Street, Travel",Klassisch,B&W,Tolerant,Medium,"Klassischer Schwarzweißfilm mit unverwechselbarem Charakter. Ideal für Street, Reportage und Situationen mit wenig Licht.","Markantes, grobkörnigeres Korn. Hoher Mikrokontrast. Typischer Zeitungs-Reportagelook: rau, direkt und sehr ausdrucksstark.","Markantes, grobkörnigeres Korn. Hoher Mikrokontrast. Typischer Zeitungs-Reportagelook: rau, direkt und sehr ausdrucksstark.",Kontrast oft etwas hoch → flacher scannen und Kontrast in der Nachbearbeitungå gezielt setzen. Korn als Gestaltungselement beibehalten.,"Sehr vielseitig: D-76 für klassischen Look, Rodinal für ausgeprägtes Korn, HC-110 für etwas mehr Kontrast. Push-Entwicklung funktioniert hervorragend."
Provia 100F,Fujifilm,Film%20Description/Provia_100F.jpg,fujifilm-provia-100f-100.jpg,100,Color Negative,"120, 35mm","Landscape, Studio, Travel",Feinkorn,Natürlich,Präzise,Premium,"Neutraler Diafilm mit hoher Schärfe und feinem Korn. Ideal, wenn natürliche Farbwiedergabe und Detailtreue gefragt sind.","Kühle bis neutrale Farbbalance. Feines Korn, hohe Schärfe. Deutlich mehr Dynamikumfang als Velvia, aber weiterhin präzise Belichtung erforderlich.",Auf die Highlights messen. Leicht unterbelichten (–0.3 EV) bewahrt die Zeichnung in hellen Bereichen.,"Neutrales Profil, Blau/Magenta leicht kontrollieren bei Hauttönen. Tiefen minimal anheben, ohne die Schatten zu öffnen.","E-6 Standard. Push bis 200 möglich; Farben werden dabei etwas lebendiger, Kontrast steigt moderat."
Portra 800,Kodak,Film%20Description/Portra_800.jpg,kodak-portra-800.jpg,800,Color Negative,"120, 35mm","Low Light, Portrait, Street, Travel, Wedding",Mittel,Natürlich,Tolerant,Premium,"Lichtstarker Farbfilm mit sehr guten Hauttönen für Portraits, Weddings und Available-Light-Situationen. Ideal, wenn Portra-Look bei wenig Licht gefragt ist.","Etwas kräftigeres Korn als Portra 400, aber weiterhin weiche, natürliche Farben. Leicht warm, angenehme Hauttöne, guter Erhalt von Details in den Schatten.","Für sauberere Ergebnisse gerne wie ISO 400–640 raten (+2/3 bis +1 EV). Bei sehr wenig Licht auf ISO 800 bleiben, um Verwackeln zu vermeiden.
","Leicht warme Grundtönung, besonders unter Kunstlicht. Weißabgleich sparsam korrigieren, um den typischen Portra-Look nicht zu verlieren. Schatten vorsichtig anheben, damit das Korn nicht zu dominant wird.","C-41 Standardprozess. Push bis ISO 1600 möglich, führt zu deutlich mehr Korn und Kontrast – eher stilistischer Effekt."
Portra 400,Kodak,Film%20Description/Portra_400.jpg,kodak-portra-400.jpg,400,Color Negative,"120, 35mm","Portrait, Street, Sunny, Travel, Wedding",Feinkorn,Natürlich,Tolerant,Premium,"Flexibler Profi-Farbfilm mit natürlichen Hauttönen und sehr hohem Dynamikumfang. Zuverlässige Wahl für Portraits, Reportage und Reisen bei unterschiedlichsten Lichtbedingungen.","Sanfte, warme Farben mit zarten Pastelltönen bei Überbelichtung. Sehr feines, organisches Korn und weicher Kontrast – besonders schmeichelhaft für Haut.",Für maximale Qualität als ISO 200 raten (+1 EV). Bei schwachem Licht ISO 400–800 möglich. Lichter sind sehr verzeihend.,"Neutraler Weißabgleich genügt. Schatten können leicht angehoben werden, ohne starken Kornzuwachs. Sehr scan-freundliche Farbstruktur.","C-41 Standard. Push bis 800 sehr gut nutzbar, minimal härterer Look."
Portra 160,Kodak,Film%20Description/Portra_160.jpg,kodak-portra-160.jpg,160,Color Negative,"120, 35mm","Portrait, Studio, Travel, Wedding",Feinkorn,Natürlich,Tolerant,Premium,"Feinkörniger Profi-Farbfilm mit sehr natürlicher Farbwiedergabe und exzellenter Detailreproduktion. Ideal für Portraits, Studio und kontrolliertes Licht.","Sehr weiche, neutrale Farbtöne. Extrem feines Korn mit hoher Schärfe. Besonders harmonische Hauttöne, weniger Pastell als Portra 400 bei Überbelichtung.","Als ISO 100–125 raten (+1/3 bis +2/3 EV) ergibt die sanftesten Hauttöne. Bei gemischtem Licht ISO 160 belassen.
","Sehr neutrale Basis – Weißabgleich nur minimal korrigieren. Schatten vorsichtig öffnen, um den natürlichen Look beizubehalten.","C-41 Standardprozess. Push bis ISO 320 möglich, führt zu etwas mehr Kontrast ohne groben Qualitätsverlust."
Lomography 800,Lomography,Film%20Description/Lomography_800.jpg,lomography-800.jpg,800,Color Negative,"120, 35mm","Experimental, Low Light, Night, Snapshot, Street, Travel",Mittel,Vivid,Tolerant,Medium,"Vielseitiger 800er Farbfilm mit kräftigen Farben und solider Low-Light-Performance. Ideal für Reisen, Snapshot-Situationen und urbane Szenen bei wenig Licht.","Lebendige, teilweise unvorhersehbare Farben mit einem leicht analogen Retro-Touch. Sichtbares, aber charaktervoller Korn. Tendenziell wärmer und kontrastreicher.",Gerne leicht überbelichten (+1/3 bis +2/3 EV) für sattere Farben und etwas feineres Korn. Bei Night-Shots auf ISO 800 bleiben.,"Farbstiche mild halten, Weißabgleich nicht zu neutral setzen – die Filmcharakteristik lebt von ihrem Farb-Punch. Schatten mit Vorsicht aufhellen, da Korn dann hervortritt.","C-41 Standard. Push bis 1600 möglich, verstärkt aber das Korn und erhöht die Farbsättigung deutlich."
HP5 Plus,Ilford,Film%20Description/Ilford_HP5_Plus.jpg,ilford-hp5-plus-400.jpg,400,B&W,"120, 35mm","Action, Low Light, Portrait, Reportage, Street, Travel",Klassisch,B&W,Tolerant,Medium,"Vielseitiger Schwarzweißfilm mit hohem Belichtungsspielraum. Perfekt für Street, Reportage und Situationen mit wenig Licht.","Klassisches, sichtbares Korn. Ausgewogene Kontraste mit guter Zeichnung in Schatten und Lichtern. Zeitloser Dokumentarlook.","Als ISO 400–800 top. Push bis 1600 oder 3200 problemlos möglich → stärkeres Korn, kräftigerer Look.","Kontrast oft etwas höher einstellen, aber Schatten nicht komplett öffnen → Filmcharakter behalten. Korn bewusst als Gestaltungselement nutzen.","Sehr flexibel: ID-11 / D-76 für ausgewogenen Look, HC-110 für mehr Kontur, Rodinal für betontes Korn. Push-Entwicklung funktioniert hervorragend."
Gold 200,Kodak,Film%20Description/Kodak_Gold_200.jpg,kodak-gold-200.jpg,200,Color Negative,"120, 35mm","Snapshot, Sunny, Travel",Klassisch,Mittel,Tolerant,Budget,"Günstiger Alltagsfilm mit warmem Look für Sonne, Reisen und spontane Aufnahmen. Einsteigerfreundlich und fehlerverzeihend.","Warme Grundtöne, besonders in Gelb- und Rotbereichen. Klassisches Korn, leicht nostalgischer Farbstich. Etwas stärkerer Kontrast bei hartem Licht.","Gutes Licht bevorzugt → +1/3 bis +2/3 EV für saubere Schatten und etwas feineres Korn. In Schattenbereichen vorsichtig, da Zeichnung schnell verloren geht.","Warme Farben bewusst nutzen, nicht zu stark neutralisieren. Schatten leicht anheben, um Muddy-Look zu vermeiden.","C-41 Standard. Push auf ISO 400 möglich, führt aber zu merklich mehr Korn und weniger Sanftheit."
